السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,سعر التأمين,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
100000.0,كيا اوبتيما,2014,أبيض عاجي ,2000.0,4+1 ,75000 ,يد اولى ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,3090,1,1,1,1,1,1,1,1
60000.0,كيا سورينتو,2007,سكني ,2500.0,7+1 ,130000 ,2 ,خصوصي ,فلسطينية ,ديزل ,نصف اوتوماتيك ,الكتروني ,2740,1,1,1,1,1,1,1,1
43500.0,هونداي افانتي,2006,سكني ,1600.0,,,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,1,1,0,1,1,1,1
5500.0,فيات 127,1982,بيج ,906.0,4+1  ,شغال ,00  ,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,967,0,0,0,0,1,0,1,0
54000.0,بيجو 208,2014,فضي ,1200.0,4+1 ,38000 ,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2035,1,0,1,0,0,1,1,1
205000.0,بي ام دبليو x3,2015,أسود ,2000.0,5+1 ,,0 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,4928,1,1,1,1,1,1,1,1
65000.0,اوبل كورسا,2015,بترولي ,1400.0,٤+١ ,١٢٣٤٥٦ ,يد اولى ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2173,1,1,1,0,1,1,1,1
230000.0,مرسيدس C200,2014,أبيض ,2000.0,4+1 ,50000 ,1 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,5365,1,1,1,1,1,1,1,1
59000.0,فورد فيستا,2014,أسود ميتالك ,1600.0,,,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2373,1,0,0,0,1,1,1,1
84000.0,نيسان باترول,2003,أبيض ,4500.0,8 ,56000 ,0 ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,3160,1,1,1,0,1,1,1,1
75000.0,فورد ترانزيت,2005,أبيض عاجي ,2500.0,7+1 ,460000 ,يد اولى ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,3003,1,0,0,0,1,1,1,1
39000.0,بيجو 206+,2012,فضي ,1400.0,4+1 ,,يد ثانية ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,0,1,0,1,1,1,1
73000.0,سكودا فابيا,2016,أبيض ,1200.0,4+1 ,45000 ,0 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2313,1,0,1,0,1,1,1,1
30000.0,فيات 1998,1998,ذهبي ,1600.0,4+1 ,70000 ,4 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1170,1,0,0,0,1,1,1,1
55000.0,سكودا فابيا,2012,أسود ميتالك ,1200.0,,,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2035,0,0,1,0,1,0,1,0
66000.0,كيا برايد,2014,فيراني ,1400.0,4+1 ,79000 ,1 ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2190,1,1,1,0,1,1,1,1
55000.0,بيجو بارتنر,2011,أحمر ,1600.0,,000 ,يد ثانيه ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2340,1,0,0,0,1,1,1,0
100000.0,فولكسفاجن كادي,2014,سكني ,1600.0,6+1 ,150 الف  ,,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,3090,0,0,0,0,1,1,1,0
2600.0,هوندا اكورد,1997,ذهبي ,1800.0,4+١ ,210000 ,3 ,خصوصي ,نمرة صفراء ,بنزين ,اوتوماتيك ,الكتروني ,1170,1,1,1,1,1,1,1,0
1800.0,اوبل اسكونا,1967,أزرق ,1200.0,4+1 ,1 ,2 ,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,1017,0,0,1,0,1,0,0,0
77000.0,هونداي سانتافيه,2008,أزرق سماوي ,2200.0,6+1 ,20000 ,3 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3038,1,1,0,1,1,1,1,1
20000.0,هونداي الانترا,1999,أبيض ,1600.0,4+1 ,00000000000000000 ,ثالثة ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1170,1,1,1,0,1,1,0,0
61000.0,هونداي i30,2010,رمادي ,1600.0,4+1 ,113000 ,2 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2408,1,1,1,0,1,0,1,1
47000.0,فورد فيستا,2014,أزرق ,1250.0,4+1 ,33000 ,0 ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,0,0,0,1,1,1,1
93000.0,هونداي توسان,2014,فضي ,2000.0,4+1 ,,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2968,1,1,1,0,1,1,1,1
71000.0,سكودا رابيد,2014,سكني ,1600.0,4+1 ,,غير منمر استيراد الماني ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2583,0,0,0,0,1,0,1,1
