السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
100000.0,كيا اوبتيما,2014,أبيض عاجي ,2000.0,5.0,75000.0,1.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
60000.0,كيا سورينتو,2007,سكني ,2500.0,8.0,130000.0,2.0,خصوصي ,فلسطينية ,ديزل ,نصف اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
43500.0,هونداي افانتي,2006,سكني ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
5500.0,فيات 127,1982,بيج ,906.0,5.0,65000.0,0.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,0,0,0,1,0,1,0
54000.0,بيجو 208,2014,فضي ,1200.0,5.0,38000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,0,0,1,1,1
205000.0,بي ام دبليو x3,2015,أسود ,2000.0,6.0,65000.0,0.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
65000.0,اوبل كورسا,2015,بترولي ,1400.0,5.0,123456.0,1.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,1,0,1,1,1,1
59000.0,فورد فيستا,2014,أسود ميتالك ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,1
75000.0,فورد ترانزيت,2005,أبيض عاجي ,2500.0,8.0,460000.0,1.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,1
39000.0,بيجو 206+,2012,فضي ,1400.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
73000.0,سكودا فابيا,2016,أبيض ,1200.0,5.0,45000.0,0.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,0,1,1,1,1
30000.0,فيات 1998,1998,ذهبي ,1600.0,5.0,70000.0,4.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,1
55000.0,سكودا فابيا,2012,أسود ميتالك ,1200.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,0,0,1,0,1,0,1,0
66000.0,كيا برايد,2014,فيراني ,1400.0,5.0,79000.0,1.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,1,1,0,1,1,1,1
55000.0,بيجو بارتنر,2011,أحمر ,1600.0,5.0,0.0,2.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,0
100000.0,فولكسفاجن كادي,2014,سكني ,1600.0,7.0,150000.0,2.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,0,0,1,1,1,0
2600.0,هوندا اكورد,1997,ذهبي ,1800.0,5.0,210000.0,3.0,خصوصي ,نمرة صفراء ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,0
77000.0,هونداي سانتافيه,2008,أزرق سماوي ,2200.0,7.0,20000.0,3.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,0,1,1,1,1,1
20000.0,هونداي الانترا,1999,أبيض ,1600.0,5.0,0.0,3.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,1,0,1,1,0,0
61000.0,هونداي i30,2010,رمادي ,1600.0,5.0,113000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,0,1,1
47000.0,فورد فيستا,2014,أزرق ,1250.0,5.0,33000.0,0.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,0,0,1,1,1,1
93000.0,هونداي توسان,2014,فضي ,2000.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
71000.0,سكودا رابيد,2014,سكني ,1600.0,5.0,65000.0,0.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,0,0,1,0,1,1
110000.0,هونداي i40,2011,فضي ,1800.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
90000.0,سكودا اوكتافيا,2014,عدة الوان ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,1,0,1,1,1,1
67000.0,كيا فورتي,2011,أسود ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,0
17500.0,اوبل كاديت,1982,أبيض عاجي ,1300.0,5.0,0.0,0.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,0,0,1,0,1,1,0,1
67000.0,هونداي اكسنت,2016,فيراني ,1400.0,5.0,22000.0,0.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
60000.0,فولكسفاجن بولو,2012,أسود ميتالك ,1400.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,1
95000.0,فولكسفاجن كادي,2011,أسود ,1600.0,7.0,65000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,0
30000.0,دايو لانوس,1999,أزرق ,1500.0,5.0,65000.0,3.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,0,0,0,0,0,0,0
115000.0,فولكسفاجن كادي,2012,فضي ,1600.0,7.0,150000.0,2.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,1,1,0,1,1,1,1
109000.0,هونداي توسان,2014,فيراني ,2000.0,5.0,29000.0,0.0,خصوصي ,فلسطينية ,ديزل ,نصف اوتوماتيك ,الكتروني ,1,1,0,0,1,1,1,1
